uniqueID,name,parent,shape,colour,definition,courses,concepts
1,Materials Science and Engineering ,0,,g,"An interdisciplinary field that combines engineering, physics, and chemistry to research and discover materials, and find uses for them in different fields and industries. ",,
2,Physics & Chemistry,1,,g,"Physics is the understanding of how the universe functions, through the study of energy and matter, in time and space. Chemistry is the identification of substances of which matter is composed, their properties and how they interact to form new substances.   ","MSE244, MSE245, MSE202",
3,Mathematics,1,,g,"It is defined as the science of structure, order and relation that has evolved from counting, measuring and describing the shapes of objects. ","MSE238, MAT294",
4,Compositional and Structural Material Science,2,,g,"Compositional and Structural Materials Science deals with the study of how various arrangements of atoms and molecules within materials characterize techniques, theories and models relating to the application of such materials into the engineering world.","MSE219, MSE218, MSE217",
1001,Structural Properties,4,,g,The properties of a system that express the unique role of each part within the overall structure of the system.,MSE222,
1002,Physical Chemistry,2,,g,"A branch of chemistry that is concerned with applying the techniques, theories and laws of physics to chemical systems for analysis.","MSE245, MSE244",
5,Statistics and Numerical Methods: MSE238,3,,g,-,MSE238,
6,Statistics,5,,g,"Statistics concerns the collection, organization, analysis, interpretation, and presentation of data.",MSE238,"18, 35"
7,Statistical Data,6,,g,-,MSE238,1405
8,Samples and Populations,7,,g,-,MSE238,
9,Sample,8,,o,A sample is the specific group that data is collected from. ,MSE238,
10,Population,8,,o,A population is the entire group that is being analyzed.,MSE238,1415
11,Sample of Convenience,9,,o,A sample which consists of data which was collected conveniently. It may not accurately represent the population. ,MSE238,9
12,Simple Random Sample,9,,o,A sample which consists of randomly chosen items. It better reflects the population than a sample of convenience.,MSE238,9
13,Sampling Independence,9,d,v,-,MSE238,9
14,Independent Samples,13,,o,All sample items are not connected to each other in any way. Information from one item does not provide information for another item.,MSE238,9
15,Dependant Samples,13,,o,Information from one item may be used to determine information about another item. ,MSE238,9
16,Conceptual Population,10,,o,A conceptual population has a non-finite number of items.,MSE238,10
17,Tangible Population,10,,o,A tangible population is a finite population where all items could be listed.,MSE238,10
18,Analyzing Data,7,,g,-,MSE238,7
19,Regression,18,,o,A statistical process to determine relationships between a dependant variable and independent variables.,MSE238,168
20,Linear Regression,19,,o,A regression type where we assume that the data is linear. ,"MSE238, MAT294","1405, 1414"
21,Simple Linear Regression,20,,o,"Linear regression of a single variable. Using the single predictor $*X$, assume a model: $#Y=\beta_0 + \beta_1 X + \epsilon$ Predict the model using the estimate: $#\hat{y} = \hat{\beta_0} + \hat{\beta_1} * x$ ","MSE238, MAT294","19, 350"
22,Method of Least Squares,21,,o,"The method of least squares is a way to estimate the parameters $*\hat{\beta_0}$ and $*\hat{\beta_1}$ for simple linear regression. The approach choses $*\hat{\beta_0}$ and $*\hat{\beta_1}$  that minimize the RSS by taking the partial derivative and setting it equal to zero.  $#\hat{\beta}_1 = \frac{{\sum_{i=1}^{n} (x_i - \bar{x})(y_i - \bar{y})}}{{\sum_{i=1}^{n} (x_i - \bar{x})^2}}$
$#\hat{\beta}_0 = \bar{y} - \hat{\beta}_1 \bar{x}$","MSE238, MAT294","19, 332, 31, 23, 26"
23,Least Squares Estimate,22,,p,The least squares estimate is:  $#\hat{y} = \hat{\beta_0} + \hat{\beta_1} * x$ ,MSE238,19
24,Residual Error,23,,p,The residual error for each $*y_i$ is: $*e_i = y_i - \hat{y}$.,MSE238,19
25,Goodness of Fit for Least Squares Estimate,23,d,v,There are several measures of how good the estimate was. ,MSE238,19
26,Sum of Squares,25,,o,-,MSE238,19
27,Coefficient of Determination,25,,o,Denoted by $*R^2$. The coefficient of determination uses the different calculations of sums of squares together to provide one measure of goodness of fit. The formula is: $#R^2 = \frac{{\text{{SSR}}}}{{\text{{SST}}}} = 1 - \frac{{\text{{SSE}}}}{{\text{{SST}}}}$,MSE238,"19, 26, 28, 29, 30"
28,Error Sums of Squares (SSE),26,,o,"The SSE (Sum of Squared Errors) represents the unexplained variation in the data. The formula is:
$#\text{SSE} = \sum_{i=1}^{n} (y_i - \hat{y}_i)^2$",MSE238,19
29,Sum of Squares Regression (SSR),26,,o,"The SSR (Sum of Squares Regression) measures the difference between the predicted values $*\hat{y_i}$ and the mean of the response variable $*\bar{y}$. The formula is:
$#SSR = \sum_{i=1}^{n} (\hat{y}_i - \bar{y})^2$",MSE238,19
30,Total Corrected Sums of Squares (SST),26,,o,"The SST (Total Sum of Squares) represents the total variation in the data. The formula is:
$#\text{SST} = \sum_{i=1}^{n} (y_i - \bar{y})^2$
",MSE238,19
31,Residual Sum of Squares (RSS),21,,r,"The RSS (Residual Sum of Squares) represents the sum of squared residuals. This measures how close each $*y_i$ value is to each estimated $*\hat{y_i}$ value is. The formula is:
$#RSS = \sum_{i=1}^{n} (y_i - \hat{y}_i)^2$",MSE238,"19, 24"
32,Parameters,23,,r,The parameters of the least squares estimate are $*\hat{\beta_0}$ and $*\hat{\beta_1}$ ,MSE238,19
33,Slope,32,,o,The slope estimate is $*\hat{\beta_1}$ and it is found by: $#\hat{\beta}_1 = \frac{{\sum_{i=1}^{n} (x_i - \bar{x})(y_i - \bar{y})}}{{\sum_{i=1}^{n} (x_i - \bar{x})^2}}$,"MSE238, MAT294","19, 350"
34,Intercept,32,,o,The intercept estimate is $*\hat{\beta_0}$ and it is found by: $#\hat{\beta}_0 = \bar{y} - \hat{\beta}_1 \bar{x}$,"MSE238, MAT294","19, 350"
35,Summaries of Data,18,,o,-,MSE238,18
36,Numerical Summaries,35,,o,-,MSE238,18
37,Statistic,36,,o,A statistic is derived from the sample data and is used to approximate the corresponding population parameter.,MSE238,"10, 9"
38,Parameter,36,,o,A numerical measure describing a population.,MSE238,"1415, 10"
39,Graphical Summaries,35,,o,A graphical representation of data.,MSE238,1206
40,Histogram,39,,o,A histogram plots the frequency of data along intervals.,MSE238,39
41,Scatter Plot,39,,o,A scatter plot is used to represent bivariate data. Each data point is plotted on a Cartesian x-y plane where each variable is one axis. ,"MSE238, MAT294, MSE217","39, 67"
42,Symmetry,40,d,v,-,MSE238,39
43,Number of Peaks,40,d,v,-,MSE238,39
44,Perfectly Symmetric,42,,o,A symmetric histogram exhibits the property of symmetry around the center of data.,MSE238,39
45,Skew,42,,o,A skewed histogram has a higher frequency of data on one side.,MSE238,39
46,Left Skewed,45,,o,More data on the left side of the histogram. ,MSE238,39
47,Right Skewed,45,,o,More data on the right side of the histogram. ,MSE238,39
48,Unimodal,43,,o,A histogram with only one peak. This means that there is only one range of values that occurs most frequently. ,"MSE238, MAT294",39
49,Bimodal,43,,o,A histogram with two peaks. This means that there are two ranges of data that occur frequently.,"MSE238, MAT294",39
50,Multimodal,43,,o,A histogram with more than one peak. ,MSE238,39
51,Measurements of Data,18,,o,-,MSE238,
52,Measuring the Centre of Data,51,,o,Measuring what data occurs most frequently. ,MSE238,"55, 56"
53,Measuring Sections of Data,51,,o,-,MSE238,"57, 59, 60, 61, 58"
54,Measuring  Variability of Data,51,,o,Measuring how data is spread. ,MSE238,62
55,Mean,52,,o,"The expected value (or mean) is a weighted average of the data, where the data points are weighted by the probabilities of each value occurring.","MSE238, MAT294, MSE217","90, 87"
56,Median,52,,o,The median represents the middle value in a data set when the values are arranged in ascending or descending order.,MSE238,55
57,Quartile,53,,o,Quartiles divide a dataset into four parts.,MSE238,"59, 60, 61"
58,Percentile,53,,o,The percentile measures the percentage of data points that are equal to or below a specific value.,MSE238,53
59,First Quartile,57,,o,The first or lower quartile (Q1) separates the lowest 25% of the data from the rest.,MSE238,57
60,Second Quartile,57,,o,The second quartile or median quartile (Q2) divides the dataset in two equal halves.,MSE238,57
61,Third Quartile,57,,o,The third or upper quartile (Q3) separates the higher 25% of the data from the rest.,MSE238,57
62,Variance,54,,o,"Variance is a measure of the spread of data, measuring how much data points deviate from the mean. A lower variance indicates that data points are closer to the mean, and higher variance means there is a wider spread. The formula for variance is: $#Var(X) = E[(X - E[X])^2] = \sum_{\forall x_i} (x_i - \mu)^2 * f(x_i)$","MSE238, MAT294","55, 63"
63,Standard Deviation,54,,o,"The standard deviation, denoted by $*\sigma$ is the square root of variance. The benefit of the standard deviation is that it remains in the scale of data. So if $*X$ was a measure of a heights in meters, then standard deviation will also be in meters, where as the variance is not. ",MSE238,62
64,Data Types,7,,g,-,MSE238,7
65,Numerical (Quantitative),64,,o,Data that can be measured or expressed as numbers.,MSE238,7
66,Categorical (Qualitative),64,,o,"Categorical data represents descriptive information that represents characteristics or attributes. Examples: gender, colour. ",MSE238,7
67,Bivariate Data,7,,o,Data that involves two variables for each observation. Example: height and weight for each person (the person is the observation). ,MSE238,7
68,Correlation,67,d,v,Measures the relationship or association between two variables. A positive correlation means that one variable increasing means the other tends to increase. Negative correlation means that one variable increasing means the other tends to decrease. ,MSE238,67
69,Correlated Data,68,,o,Correlation coefficient is non-zero.,MSE238,71
70,Uncorrelated Data,68,,o,Correlation coefficient is zero. ,MSE238,71
71,Correlation Coefficient,68,,p,Quantifies the strength of correlation. It ranges between -1 meaning perfect negative correlation and +1 meaning perfect positive correlation. 0 indicates no correlation. ,MSE238,"68, 69, 70"
72,A Statistical Experiment,171,,g,-,MSE238,8
73,Observational Study,72,,o,Study is done by observing existing data.,MSE238,8
74,Controlled Experiment,72,,o,Researchers control variables to isolate and analyze impact on dependant variables.,MSE238,8
