20220529	16:13:35	55b10321-33ca-4653-b1e1-4d8c7b6c04fd	GET	 undefined	 /
20220529	16:15:47	7777063f-e742-4349-973c-f4e664246ff2	GET	 undefined	 /
20220529	16:35:57	d868381e-76c5-4295-bb6c-9100b2d191ab	GET	 chrome-extension://laookkfknpbbblfpciffpaejjkokdgca	 /
20220529	16:44:00	0f198ccf-fb55-4d26-a782-8a47ba9829a7	GET	 chrome-extension://laookkfknpbbblfpciffpaejjkokdgca	 /
20220529	16:45:37	8b5889ab-e4a8-499a-bc20-e3a494652678	GET	 https://www.google.ca	 /
20220529	16:46:03	39dade8a-6232-423c-bb8c-9fc44cabe34d	GET	 https://www.google.ca	 /
20220529	16:47:18	8ef2c1a8-9c4f-4be1-89d3-1f1c3a831122	GET	 https://www.google.ca	 /
20220529	16:50:50	e0ffc01f-54ee-4d18-8f1c-fa604e6bef42	GET	 https://www.google.ca	 /
20220529	16:52:08	96304707-aea5-495e-9180-95fdc0761e60	GET	 undefined	 /
20220529	17:48:27	5b880e3c-fe59-45c7-8ed0-156a7647d239	GET	 undefined	 /
20220529	17:48:32	f39b4a6d-9edd-483a-b80e-50356bc59f87	GET	 undefined	 /new-page.html
20220529	17:49:17	c296c77c-46f1-410e-b8c9-22d09fb6fc1c	GET	 https://www.google.ca	 /
20220529	18:08:51	3aa07da0-5726-4ea2-9094-824d26932d69	GET	 undefined	 /new-page.html
20220529	18:08:55	3d888775-c59f-47a3-aef9-6eca3f281213	GET	 undefined	 /
20220529	18:09:26	8663d31e-ef8b-4fa6-b076-ab1311d76919	GET	 undefined	 /
20220529	18:09:34	90cf4ae6-2073-436e-a352-7ea26156a832	GET	 undefined	 /index
20220529	18:09:38	782e7fdc-37ce-40de-953e-2e1d0abb2995	GET	 undefined	 /old
20220529	18:09:42	05829ec7-024d-431e-9bfe-bb03e1a89d4d	GET	 undefined	 /old-page
20220529	18:09:42	b81f76f1-3bf9-4e2e-8966-458a21ed50f0	GET	 undefined	 /new-page.html
20220529	18:33:57	02757c0f-a4f9-46f7-870b-bc4ea7979305	GET	 undefined	 /new-page.html
20220529	18:34:02	65c855a7-26b5-484d-a9fe-3e26271fb93b	GET	 undefined	 /
20220530	10:56:27	ae8e90c9-e11d-40a4-a119-59a289e7ec76	GET	 undefined	 /new-page
20220530	10:56:35	5820524a-330d-4ea6-9595-bbcb1d3e57b2	GET	 undefined	 /old-page
20220530	10:56:35	21999726-73e9-41c0-98ac-6bc7747913f2	GET	 undefined	 /new-page.html
20220530	10:56:40	102bf7e7-06ea-4b1b-a459-910ed2982069	GET	 undefined	 /new
20220607	11:54:31	7c465cd1-71fc-41a6-b5b5-a81d7bf9aeac	GET	 undefined	 /
20220607	11:54:50	7e553b76-ae33-4a2c-9a78-17ff6ecd072f	GET	 undefined	 /user-form
20220607	11:55:39	540ad1ac-42b1-4737-8203-ff31ae183276	GET	 undefined	 /user-form.js
20220607	11:59:07	7d2100a9-1d4d-4f56-b6e2-2177b7891b0c	GET	 undefined	 /user-form.ejs
20220607	12:00:30	2fa38ec0-a4e5-401e-a22e-49402e6b411b	GET	 undefined	 /user-form.html
